Filename,Time (s),Memory (KB)
cxx11_tensor_intdiv.cpp,2.56,137624
polynomialsolver.cpp,35.86,806292
polynomialsolver.cpp,29.11,706452
EulerAngles.cpp,19.84,423280
polynomialutils.cpp,4.33,204552
autodiff_scalar.cpp,2.74,155808
polynomialutils.cpp,4.70,209404
matrix_function.cpp,127.90,1959660
polynomialutils.cpp,3.84,211968
polynomialutils.cpp,3.90,210772
polynomialutils.cpp,3.79,215760
matrix_square_root.cpp,70.78,1408344
sparse_extra.cpp,69.63,1281280
failtest_sanity_check.cpp,0.03,11000
failtest_sanity_check.cpp,0.00,6252
block_nonconst_ctor_on_const_xpr_0.cpp,0.87,85160
block_nonconst_ctor_on_const_xpr_0.cpp,0.96,80920
block_nonconst_ctor_on_const_xpr_1.cpp,0.93,85652
block_nonconst_ctor_on_const_xpr_1.cpp,0.86,79768
block_nonconst_ctor_on_const_xpr_2.cpp,0.95,85772
block_nonconst_ctor_on_const_xpr_2.cpp,0.92,80144
transpose_nonconst_ctor_on_const_xpr.cpp,0.86,83784
transpose_nonconst_ctor_on_const_xpr.cpp,0.90,80276
diagonal_nonconst_ctor_on_const_xpr.cpp,0.91,84708
diagonal_nonconst_ctor_on_const_xpr.cpp,0.84,80720
cwiseunaryview_nonconst_ctor_on_const_xpr.cpp,0.88,84016
cwiseunaryview_nonconst_ctor_on_const_xpr.cpp,0.90,79316
triangularview_nonconst_ctor_on_const_xpr.cpp,0.89,82928
triangularview_nonconst_ctor_on_const_xpr.cpp,0.96,77760
selfadjointview_nonconst_ctor_on_const_xpr.cpp,0.86,83044
selfadjointview_nonconst_ctor_on_const_xpr.cpp,1.02,79236
const_qualified_block_method_retval_0.cpp,1.01,84580
const_qualified_block_method_retval_0.cpp,0.98,82416
const_qualified_block_method_retval_1.cpp,0.87,86068
const_qualified_block_method_retval_1.cpp,0.95,81560
const_qualified_transpose_method_retval.cpp,0.88,83836
const_qualified_transpose_method_retval.cpp,0.91,82024
const_qualified_diagonal_method_retval.cpp,1.02,84900
const_qualified_diagonal_method_retval.cpp,0.96,82456
map_nonconst_ctor_on_const_ptr_0.cpp,0.86,84200
map_nonconst_ctor_on_const_ptr_0.cpp,0.93,79904
map_nonconst_ctor_on_const_ptr_1.cpp,1.13,84052
map_nonconst_ctor_on_const_ptr_1.cpp,0.93,80196
map_nonconst_ctor_on_const_ptr_2.cpp,0.82,85652
map_nonconst_ctor_on_const_ptr_2.cpp,0.84,79640
map_nonconst_ctor_on_const_ptr_3.cpp,0.93,85428
map_nonconst_ctor_on_const_ptr_3.cpp,0.97,79960
map_nonconst_ctor_on_const_ptr_4.cpp,0.92,84848
map_nonconst_ctor_on_const_ptr_4.cpp,1.04,80852
map_on_const_type_actually_const_0.cpp,1.00,86016
map_on_const_type_actually_const_0.cpp,0.94,80264
map_on_const_type_actually_const_1.cpp,0.91,84780
map_on_const_type_actually_const_1.cpp,0.89,80416
block_on_const_type_actually_const_0.cpp,1.02,85372
block_on_const_type_actually_const_0.cpp,1.04,80120
block_on_const_type_actually_const_1.cpp,1.05,86420
block_on_const_type_actually_const_1.cpp,1.04,80468
transpose_on_const_type_actually_const.cpp,1.05,85492
transpose_on_const_type_actually_const.cpp,1.00,80544
diagonal_on_const_type_actually_const.cpp,0.94,85648
diagonal_on_const_type_actually_const.cpp,0.97,79560
cwiseunaryview_on_const_type_actually_const.cpp,1.03,86144
cwiseunaryview_on_const_type_actually_const.cpp,1.05,80608
triangularview_on_const_type_actually_const.cpp,1.07,84504
triangularview_on_const_type_actually_const.cpp,1.00,79632
selfadjointview_on_const_type_actually_const.cpp,1.06,83564
selfadjointview_on_const_type_actually_const.cpp,0.95,78084
ref_1.cpp,1.02,89992
ref_1.cpp,1.07,82436
ref_2.cpp,1.15,94228
ref_2.cpp,1.05,84844
ref_3.cpp,1.05,91260
ref_3.cpp,1.08,83616
ref_4.cpp,1.01,89684
ref_4.cpp,1.11,82028
ref_5.cpp,1.03,89312
ref_5.cpp,1.01,82436
swap_1.cpp,1.03,85648
swap_1.cpp,1.00,79384
swap_2.cpp,1.00,86036
swap_2.cpp,0.86,78372
ternary_1.cpp,1.22,98904
ternary_1.cpp,1.03,83740
ternary_2.cpp,1.19,98660
ternary_2.cpp,0.84,85108
sparse_ref_1.cpp,1.35,119424
sparse_ref_1.cpp,1.28,104668
sparse_ref_2.cpp,1.53,120980
sparse_ref_2.cpp,1.44,106916
sparse_ref_3.cpp,1.90,135040
sparse_ref_3.cpp,1.29,105660
sparse_ref_4.cpp,1.36,119900
sparse_ref_4.cpp,1.20,107568
sparse_ref_5.cpp,1.62,119024
sparse_ref_5.cpp,1.16,105120
sparse_storage_mismatch.cpp,1.67,129552
sparse_storage_mismatch.cpp,1.16,104320
partialpivlu_int.cpp,4.59,225296
partialpivlu_int.cpp,2.12,171400
fullpivlu_int.cpp,2.18,151564
fullpivlu_int.cpp,1.57,124872
llt_int.cpp,3.52,194800
llt_int.cpp,1.83,153192
ldlt_int.cpp,2.72,185580
ldlt_int.cpp,1.90,155948
qr_int.cpp,8.33,346584
qr_int.cpp,4.80,297656
colpivqr_int.cpp,3.33,208272
colpivqr_int.cpp,2.10,170508
fullpivqr_int.cpp,3.35,205244
fullpivqr_int.cpp,2.24,167420
jacobisvd_int.cpp,13.16,444328
jacobisvd_int.cpp,6.97,338240
bdcsvd_int.cpp,43.32,987500
bdcsvd_int.cpp,26.41,732360
eigensolver_int.cpp,19.62,577840
eigensolver_int.cpp,10.76,444196
eigensolver_cplx.cpp,19.63,577592
eigensolver_cplx.cpp,1.55,118404
