Filename,Time (s),Memory (KB)
inverse.cpp,22.36,608564
sparse_product.cpp,52.03,898712
inverse.cpp,31.39,696632
inverse.cpp,25.38,655332
inverse.cpp,30.96,719636
inverse.cpp,23.68,613832
inverse.cpp,20.25,544012
inverse.cpp,16.95,511124
geo_orthomethods.cpp,5.37,284520
determinant.cpp,11.67,423780
determinant.cpp,7.43,304252
determinant.cpp,6.81,296476
geo_transformations.cpp,50.54,1144052
lu.cpp,1.73,117356
nesting_ops.cpp,4.12,268988
lu.cpp,41.59,883416
lu.cpp,43.40,881808
hessenberg.cpp,19.73,541552
lu.cpp,37.74,732708
lu.cpp,139.88,1910224
lu.cpp,52.55,1098472
adjoint.cpp,12.31,394220
dontalign.cpp,39.63,1000788
diagonalmatrices.cpp,11.29,408600
product_syrk.cpp,12.29,377488
adjoint.cpp,8.41,360232
sparselu.cpp,75.86,1224108
array_reverse.cpp,4.88,289060
schur_complex.cpp,18.99,582596
diagonalmatrices.cpp,14.92,427308
triangular.cpp,3.43,189884
diagonalmatrices.cpp,11.32,424968
determinant.cpp,6.91,309256
corners.cpp,6.95,286244
jacobi.cpp,5.72,256332
mapstaticmethods.cpp,6.63,307048
product_extra.cpp,15.81,487232
product_extra.cpp,36.00,863204
geo_alignedbox.cpp,5.75,273540
mixingtypes.cpp,101.88,1883920
product_trsolve.cpp,11.46,366780
product_extra.cpp,28.02,709740
geo_alignedbox.cpp,4.46,246888
nomalloc.cpp,17.42,524204
product_extra.cpp,37.07,826784
product_small.cpp,34.21,855508
real_qz.cpp,32.42,739780
lu.cpp,47.08,963592
mapstaticmethods.cpp,5.09,274144
product_trmm.cpp,112.10,1556204
block.cpp,39.96,829760
array_replicate.cpp,4.98,246324
conservative_resize.cpp,7.55,272532
product_symm.cpp,10.85,343424
geo_orthomethods.cpp,4.64,282348
unalignedcount.cpp,2.53,129864
bdcsvd.cpp,2.06,165264
product_trmm.cpp,18.11,505616
adjoint.cpp,11.39,434732
mapstride.cpp,9.88,389512
stdvector.cpp,5.75,264700
product_large.cpp,68.80,1240752
redux.cpp,4.56,181760
real_qz.cpp,30.39,723208
product_small.cpp,32.09,820056
product_small.cpp,26.44,688032
special_numbers.cpp,3.67,214528
redux.cpp,11.98,357532
product_small.cpp,20.34,645132
product_small.cpp,32.75,804368
product_small.cpp,72.71,1378740
geo_alignedbox.cpp,4.74,246052
